theta (rad),S_y/S,yerror
0.000000000000000000e+00,-1.574619820168790887e-02,8.531730181822424694e-03
1.578689775673262560e-02,-1.151294565110854914e-02,9.240099143636649331e-03
3.157379551346525121e-02,2.966584018047186983e-03,8.569968036162381106e-03
4.736069327019787334e-02,-2.244696992835646526e-02,8.507230353815566429e-03
6.314759102693050241e-02,-6.630006696631270818e-03,5.926274686035627216e-03
7.893448878366314536e-02,1.175629602777406024e-02,1.599412420354695899e-02
9.472138654039574668e-02,1.720160275050023821e-02,1.387251843822568699e-02
1.105082842971283896e-01,2.275220231830939101e-03,1.283949361599842284e-02
1.262951820538610048e-01,-5.153468680507046137e-03,4.497251328711832780e-03
1.420820798105936478e-01,-1.384522165673090013e-02,1.275107627503455771e-02
1.578689775673262907e-01,1.171101308973941310e-02,1.282988673177742379e-02
1.736558753240589059e-01,-7.444890967133482688e-03,1.439573734924907977e-02
1.894427730807914934e-01,4.668627877376273216e-02,1.075618862261573661e-02
2.052296708375241363e-01,-2.015965704334328826e-02,2.297105036331797967e-02
2.210165685942567793e-01,-2.305260729345089826e-02,1.417893103896684069e-02
2.368034663509893667e-01,-2.396998511672172524e-02,1.732032878963809738e-02
2.525903641077220096e-01,2.478035484692810045e-04,1.285882028777458018e-02
2.683772618644546526e-01,-1.607035206154796420e-02,2.347377349172132671e-02
2.841641596211872955e-01,-2.199126257837567128e-02,1.616865769615086559e-02
2.999510573779198830e-01,-7.254454944971595876e-02,9.447522441544810995e-03
3.157379551346525814e-01,-4.594224283271844400e-02,2.006617593800264637e-02
3.315248528913851689e-01,-3.831976652328131228e-02,3.238180025405077572e-02
3.473117506481178118e-01,-7.921334106731249547e-02,1.938781728476306546e-02
3.630986484048503993e-01,-7.563963568977483121e-02,2.300635433748509859e-02
3.788855461615829867e-01,3.567586625961528118e-02,2.738181025600538304e-02
3.946724439183156852e-01,1.155109618805083040e-02,2.985179853674087280e-02
4.104593416750482726e-01,4.575414383874595869e-02,1.096779784681402130e-02
4.262462394317809711e-01,2.116768737705564812e-02,2.429245119349064674e-02
4.420331371885135585e-01,1.082289132025717748e-01,1.809536926410511976e-02
4.578200349452461460e-01,-1.004026792068205866e-02,4.207052511614951806e-02
4.736069327019787334e-01,2.883095212576887098e-02,3.069347969659337941e-02
4.893938304587114874e-01,1.921375466259404169e-02,2.773061312069205822e-02
5.051807282154440193e-01,-6.677392212329620602e-02,4.353261123699695562e-02
5.209676259721767178e-01,1.470647755327759293e-02,3.085438292515250980e-02
5.367545237289093052e-01,4.926634786827121734e-03,3.536608044058862227e-02
5.525414214856420037e-01,5.358227472408876729e-02,8.673307900862624320e-02
5.683283192423745911e-01,-1.124780496746592279e-01,1.989890635823554632e-02
5.841152169991072896e-01,-5.560955086876880060e-02,4.952485545636425845e-02
5.999021147558397660e-01,-3.623967632644790188e-02,3.035057188567214653e-02
6.156890125125723534e-01,1.236563816472315003e-02,3.626686493896037755e-02
6.314759102693051629e-01,4.442694632005010635e-02,3.810254350019774694e-02
6.472628080260376393e-01,6.250275830777797526e-02,2.474442307722910309e-02
6.630497057827703378e-01,4.279800942353575999e-02,5.984863900786172031e-02
6.788366035395029252e-01,1.262868654360304876e-01,3.770346049648880260e-02
6.946235012962356237e-01,-1.625724022654710665e-02,4.527955458568622138e-02
7.104103990529681001e-01,-4.366003627423610534e-02,6.325019084924929369e-02
7.261972968097007985e-01,-1.275085931768082936e-01,2.935337366580243953e-02
7.419841945664334970e-01,-5.438639150080652046e-02,5.366136120985085661e-02
7.577710923231659734e-01,-1.755679500047603869e-01,4.428039971226135213e-02
7.735579900798986719e-01,-1.099594558425476265e-01,4.251272038554543276e-02
7.893448878366313703e-01,-6.371092587609371305e-02,5.700336000060900882e-02
8.051317855933640688e-01,6.142532498715256618e-03,4.886810473522985171e-02
8.209186833500965452e-01,7.969426433072211713e-02,6.355859704842349578e-02
8.367055811068292437e-01,6.401452389516555652e-02,6.821516530627406982e-02
8.524924788635619421e-01,2.326166689082515282e-01,4.193623409340763164e-02
8.682793766202944186e-01,-2.439763237472760901e-02,5.055830268362297708e-02
8.840662743770271170e-01,1.418979961664389167e-01,4.844408692652055898e-02
8.998531721337598155e-01,-1.007962459963435975e-01,6.515575736701435805e-02
9.156400698904922919e-01,-1.614366286226359970e-01,5.447886004744547511e-02
9.314269676472249904e-01,-1.927761789554990890e-01,2.917130524722192156e-02
9.472138654039574668e-01,-2.333241765828321379e-01,7.608616419453807789e-02
9.630007631606901652e-01,-1.933552415320025919e-01,6.260232921971363440e-02
9.787876609174229747e-01,-3.280948908843610290e-02,8.894557898759571091e-02
9.945745586741553401e-01,1.706940484027712202e-01,6.796620140653363007e-02
1.010361456430888039e+00,2.205977230581900594e-01,4.253468364974693355e-02
1.026148354187620848e+00,2.092081550681396673e-01,6.971037273012484214e-02
1.041935251944353436e+00,2.169274857491997402e-02,1.055124535843151995e-01
1.057722149701086023e+00,1.604338333454434773e-01,7.542944464138834348e-02
1.073509047457818610e+00,-2.689074789138790611e-01,1.134937781973286708e-01
1.089295945214551198e+00,-1.552436957685127961e-01,1.080151910593402376e-01
1.105082842971284007e+00,-2.354777464162946532e-01,5.413904963250543850e-02
1.120869740728016595e+00,-3.844225823181405266e-01,3.555574620433601951e-02
1.136656638484749182e+00,3.297376751498672098e-02,1.024444354069476842e-01
1.152443536241481770e+00,-1.379903129115499227e-01,1.049717648977932238e-01
1.168230433998214579e+00,1.478533205904436765e-01,1.061654703374770303e-01
1.184017331754946944e+00,1.831671785044266809e-01,1.183537475944133749e-01
1.199804229511679532e+00,3.120350064417320990e-01,3.951910868669518406e-02
1.215591127268412341e+00,2.074066079254870132e-01,1.006445512703649792e-01
1.231378025025144707e+00,5.484861966176875908e-02,9.527527928718958206e-02
1.247164922781877516e+00,2.392520914658466044e-02,1.011044692124691419e-01
1.262951820538610326e+00,-4.343636883374225877e-02,1.747065784606020022e-01
1.278738718295342691e+00,-2.025560736431388786e-01,1.007757409788415798e-01
1.294525616052075279e+00,-2.967806094344240808e-01,7.087437362360961279e-02
1.310312513808807866e+00,-2.578866422835904837e-01,8.365181145779519711e-02
1.326099411565540676e+00,-1.310725561484502311e-01,1.137868448656412096e-01
1.341886309322273263e+00,1.590640569730795290e-02,1.392667405514098899e-01
1.357673207079005850e+00,1.078901835287775085e-01,1.242902216540735932e-01
1.373460104835738660e+00,2.290115776873134501e-01,1.246788169312821881e-01
1.389247002592471247e+00,9.612869170162319232e-02,1.525849016847285466e-01
1.405033900349203835e+00,1.796550006893468665e-01,1.087837980348742850e-01
1.420820798105936200e+00,1.987742572837860044e-01,9.225461886017688462e-02
1.436607695862669010e+00,-1.707507505918225491e-02,1.333289349684419201e-01
1.452394593619401597e+00,-1.787161657940624648e-01,1.212365246762227150e-01
1.468181491376134185e+00,-3.207625139584465157e-01,1.608881295362995789e-01
1.483968389132866994e+00,-4.432600345020432653e-01,1.054627011002428755e-01
1.499755286889599581e+00,-4.977932488592691773e-01,3.193322138640043023e-02
1.515542184646331947e+00,-4.715511580624838772e-01,5.471649221538107261e-02
1.531329082403064756e+00,-5.283230685493043310e-01,4.227886921053718161e-02
1.547115980159797344e+00,-4.145732974756281553e-01,5.061263313745482939e-02
1.562902877916529931e+00,-3.044180170728567059e-01,1.277376408258895923e-01
