theta (deg),xi^2,yerror (lower), yerror (upper)
0.000000000000000000e+00,4.277985895787921877e-01,1.763685420122738101e-01,1.103746869500464300e-01
4.487710843373494463e+00,2.220938792773238246e-01,6.744598554234110255e-02,4.548429427634115285e-02
8.975421686746988925e+00,5.989233607467545628e-01,2.184993703579797275e-01,1.373936455617184027e-01
1.346313253012048250e+01,9.328821015859619648e-01,2.615450505765096745e-01,1.417235505033090925e-01
1.795084337349397785e+01,2.147043133416593363e+00,8.625942446976548883e-01,7.368585287257394256e-01
2.243855421686746965e+01,1.841508553751393773e+00,4.989335618459440624e-01,3.475888878404345128e-01
2.692626506024096500e+01,3.768453940994485052e+00,1.237132737501179580e+00,1.009253202112684100e+00
3.141397590361445680e+01,6.282289565838720335e+00,1.480483992200100296e+00,9.745196124567270246e-01
3.590168674698795570e+01,1.199572422963973395e+01,3.390123942471337415e+00,2.655376178239411189e+00
4.038939759036144039e+01,7.648363210592041384e+00,2.651770468249829094e+00,1.864646670827637465e+00
4.487710843373493930e+01,2.100460329170504181e+01,5.873808387620321980e+00,3.220110945126251067e+00
4.936481927710844531e+01,2.052800844933732805e+01,6.160170840745943011e+00,4.130129356120914252e+00
5.385253012048193000e+01,2.451656831769500045e+01,8.476578179953801140e+00,6.774817031564591474e+00
5.834024096385543601e+01,2.399723620342802377e+01,4.517378564594555002e+00,3.720327516866937856e+00
6.282795180722891359e+01,8.816159552947713252e+00,3.130362470291286670e+00,2.453380140590970981e+00
6.731566265060241960e+01,1.534791032240961428e+01,5.556364724854780945e+00,3.734137669287804329e+00
7.180337349397591140e+01,3.625704892182041306e+01,9.132555448032263712e+00,5.488699979638994364e+00
7.629108433734941741e+01,2.579667220296255081e+01,7.109350170487537923e+00,4.406752261037880203e+00
8.077879518072288079e+01,4.117060561712610678e+01,1.818886107952059916e+01,9.522063501087188797e+00
8.526650602409638680e+01,3.177661632590638874e+01,8.797164729428203600e+00,5.584200661445464675e+00
8.975421686746987859e+01,3.319892491340857532e+01,1.442721932274580965e+01,8.452055943712338149e+00
