theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,9.477066900913242442e-01,2.164470316959453688e-01,1.292820632123552471e-01
4.365753092408440672e+00,8.622377700936288969e-01,2.406967991298534226e-01,1.526844106688259872e-01
7.858355566335192499e+00,8.655359951200309876e-01,2.513170526863912624e-01,2.259407107161666151e-01
1.135095804026194699e+01,6.653062053249227947e-01,2.598931368447761625e-01,2.064550382160452724e-01
1.484356051418869527e+01,4.236065781551738851e-01,1.200556470689597144e-01,8.812206494763286102e-02
1.833616298811545064e+01,4.044494388490588732e-01,8.623169077355835599e-02,6.626234809303033213e-02
2.182876546204220247e+01,2.625600334445072348e-01,6.216556034538145425e-02,4.078307350979870627e-02
2.532136793596895785e+01,5.756294569102070602e-01,1.762169861838144280e-01,1.165052922694732596e-01
2.881397040989570257e+01,6.290960468263120386e-01,1.660168477022618272e-01,1.220876434142504907e-01
3.230657288382246151e+01,6.827422352171083064e-01,1.490502174230718957e-01,1.003802886406768291e-01
