theta (deg),xi^2_R,yerror (lower), yerror (upper)
8.731506184816879568e-01,1.018304674267387133e+00,1.891907728121925425e-01,2.192399490675815965e-01
4.365753092408439784e+00,7.588797535488194246e-01,1.314931163535010272e-01,1.019501430647915541e-01
7.858355566335191611e+00,5.703537960930925577e-01,1.267023389749429851e-01,1.140976610870070296e-01
1.135095804026194521e+01,4.887388112607983226e-01,1.079906594178274282e-01,9.405061422812543981e-02
1.484356051418869349e+01,4.955636046297640651e-01,1.015650740370738214e-01,9.553005161868749484e-02
1.833616298811545064e+01,4.922517712446492499e-01,1.022581802199860057e-01,1.029171384766945918e-01
2.182876546204220247e+01,9.132358467016867820e-01,1.841509842084790849e-01,1.736739151780293255e-01
2.532136793596895430e+01,6.111712818666968916e-01,1.098907619420550486e-01,8.903423172313673639e-02
2.881397040989570257e+01,1.027473439800069999e+00,1.820681198269354928e-01,1.482778948945686626e-01
3.230657288382246151e+01,1.347794196395827537e+00,3.014568506322046204e-01,3.000037300832549825e-01
