B field (G),Freq. shift (Hz),yerror
1.048039613089747490e+01,2.493426779777815838e+01,2.997743059539817456e-01
1.051168089546731821e+01,1.492666285352144762e+01,1.343955457979510437e-01
1.054296566003716151e+01,7.009336418256818746e+00,1.646866159671700747e-01
1.057425042460700304e+01,2.676098636481629711e+00,1.711787841511003619e-02
1.060553518917684812e+01,6.912832966574491422e-01,1.189984571493754584e-01
1.063681995374669143e+01,0.000000000000000000e+00,3.003378182489044312e-01
1.066810471831653295e+01,2.199455855429985007e+00,1.317514625301059450e-01
1.069938948288637626e+01,7.073081436956417889e+00,2.337516974800922243e-01
1.073067424745621956e+01,1.387381759656650715e+01,3.963309804434900219e-01
1.076195901202606464e+01,2.428920550219974572e+01,1.806554212150077998e-01
