Wait time (s),Normalized polarization,yerror
1.990000000000000102e-01,8.785408774334730886e-01,1.973785541740654889e-02
3.970000000000000195e-01,1.040871972988666183e+00,4.064524905922767967e-02
5.950000000000000844e-01,9.014741726337460737e-01,3.180602650103992596e-02
6.939999999999999503e-01,9.194275238208311496e-01,3.660130432930386313e-02
8.920000000000000151e-01,9.899205270446898020e-01,4.542246520454208680e-02
9.909999999999999920e-01,8.399511080775334815e-01,3.512269134058813858e-02
1.387000000000000233e+00,8.976974045288987902e-01,4.173663785021971412e-02
1.585000000000000187e+00,8.115001192845405775e-01,3.279678900097453276e-02
1.684000000000000163e+00,8.391579893356098108e-01,3.375329870026994028e-02
1.783000000000000362e+00,7.652554718013255819e-01,4.280018863668194617e-02
2.080000000000000071e+00,7.529238594754230629e-01,9.786769373928383767e-03
2.278000000000000025e+00,7.945778317272091940e-01,3.959611493377734881e-02
2.475999999999999979e+00,6.585908808855145402e-01,2.917331452034990433e-02
2.575000000000000178e+00,6.759914465320315813e-01,3.747070947654398271e-02
2.773000000000000576e+00,5.261035518494778795e-01,9.579458973567812202e-03
2.872000000000000330e+00,6.343958017426545304e-01,1.372703479151381536e-02
2.971000000000000085e+00,6.422772274378272250e-01,4.487570414793824736e-02
3.070000000000000284e+00,7.767561268099731908e-01,2.863160398877622956e-02
3.466000000000000636e+00,6.295651741300867243e-01,2.668920714589856358e-02
3.763000000000000345e+00,4.183485369005466303e-01,3.527026486936835070e-02
3.961000000000000298e+00,5.644657024849437654e-01,1.116420862726364392e-02
4.158999999999999808e+00,5.284154655512549592e-01,1.910920110417782883e-02
4.258000000000000007e+00,4.438210691168853472e-01,3.879272443564928119e-02
4.356999999999999318e+00,4.371539303885185745e-01,4.390248704022714499e-02
4.851999999999999424e+00,3.641506031608994221e-01,2.743626718498111405e-02
5.149000000000000021e+00,4.153306345320293413e-01,4.012873992846111709e-02
5.347000000000000419e+00,4.624166208758833108e-01,1.990743334530096359e-02
5.742999999999999439e+00,4.323342027741636784e-01,2.861028798046691066e-02
6.040000000000000036e+00,4.161984288761566564e-01,2.739484715021764383e-02
6.237999999999999545e+00,3.015418202036399542e-01,3.014116510582801403e-02
6.435999999999999943e+00,2.616989543802554774e-01,4.145670172487098820e-02
6.733000000000000540e+00,2.675207095833453952e-01,1.801619085338733439e-02
7.326999999999999957e+00,3.078166576551166767e-01,2.069675484130103701e-02
