Wait time (s),Atom number,yerror
1.000000000000000056e-01,8.249115671486831616e+02,1.856767659494554934e+01
3.970000000000000195e-01,7.941117856308408136e+02,2.521119245600761261e+01
9.909999999999999920e-01,7.169057571524090235e+02,1.306996399377398710e+01
1.288000000000000034e+00,7.518632320627790477e+02,1.718397287053852196e+01
1.783000000000000362e+00,7.273886665955665194e+02,2.943060562685426618e+01
1.981000000000000094e+00,7.308419907003152503e+02,2.217036070870291198e+01
2.575000000000000178e+00,6.530192612145572184e+02,1.409652278277684623e+01
3.169000000000000039e+00,6.039381240187601634e+02,2.086537147157510930e+01
3.367000000000000437e+00,6.673641095638863590e+02,1.719617057615088385e+01
3.466000000000000636e+00,6.695739548401378443e+02,2.034988111227951890e+01
3.564999999999999947e+00,6.609033603670388857e+02,2.316889711411725372e+01
3.862000000000000099e+00,6.188099897321930030e+02,2.908093292764505478e+01
4.060000000000000497e+00,5.886395052389833609e+02,2.856632356592995237e+01
4.158999999999999808e+00,5.885064912962268409e+02,2.396140573507189231e+01
4.258000000000000007e+00,6.376128205266369378e+02,2.116175732443243973e+01
4.950999999999999623e+00,5.889876591573348605e+02,2.640720056027676321e+01
5.049999999999999822e+00,6.436387552060641610e+02,2.437412136628615045e+01
5.248000000000000220e+00,5.837965885049820827e+02,2.190191013562523281e+01
5.544999999999999929e+00,5.005560600553543509e+02,2.589635154229613434e+01
5.940999999999999837e+00,5.805286777749848852e+02,1.860438884233641943e+01
6.237999999999999545e+00,5.780049397474556372e+02,1.876988773271752464e+01
6.336999999999999744e+00,5.165247869558368166e+02,2.849844080501338084e+01
6.535000000000000142e+00,5.269074321012346900e+02,2.439128650412821742e+01
6.733000000000000540e+00,4.560256119920479136e+02,2.614399893254190488e+01
6.832000000000000739e+00,5.330683960861875903e+02,2.029589616165647570e+01
7.029999999999999361e+00,5.672217412517111370e+02,1.628895766914967069e+01
7.227999999999999758e+00,5.124376312602252028e+02,2.873029933481805998e+01
7.326999999999999957e+00,4.918300431061067002e+02,2.769889956977959145e+01
7.921000000000000263e+00,5.137662591657143594e+02,1.434646229054247968e+01
8.118999999999999773e+00,4.941799560948064709e+02,2.485386474538942991e+01
8.217999999999999972e+00,5.396470440050238722e+02,2.291355469119853439e+01
8.317000000000000171e+00,4.853078253448035184e+02,1.740072136701008887e+01
8.712999999999999190e+00,4.752682957108345363e+02,1.525624810353001237e+01
8.811999999999999389e+00,4.357102514394400714e+02,1.908503341063151382e+01
9.108999999999999986e+00,4.094299209311683967e+02,1.932049970455645393e+01
9.208000000000000185e+00,4.757751594472479155e+02,1.941250571590039442e+01
9.307000000000000384e+00,4.405808794115156957e+02,1.041605070973914060e+01
9.405999999999998806e+00,4.454389113662847421e+02,2.937065821888011641e+01
9.504999999999999005e+00,4.713232230904402513e+02,1.784112260080414458e+01
9.603999999999999204e+00,4.722402131503530995e+02,2.032179619878107957e+01
1.000000000000000000e+01,4.466753364250902791e+02,2.715434818375681658e+01
