Pulse length (ms),S_z/S,yerror
1.000000000000000000e+00,-7.195288618105153411e-01,1.543744340649991220e-02
1.066666666666666652e+00,-9.121097407834799498e-01,7.853239455084161033e-03
1.133333333333333304e+00,-9.957765902590007823e-01,2.485152652609890628e-03
1.200000000000000178e+00,-9.430484509915560976e-01,2.217439876474374067e-04
1.266666666666666829e+00,-7.967873054282442746e-01,9.589821486183208385e-03
1.333333333333333259e+00,-5.060196019001944601e-01,1.181212356876994683e-02
1.399999999999999911e+00,-1.459417554967637476e-01,1.886823900988322811e-02
1.466666666666666785e+00,2.102853389419691021e-01,8.370084180102013022e-03
1.533333333333333437e+00,5.491869142404759430e-01,1.567132544204037636e-02
1.599999999999999867e+00,7.864734726244343443e-01,6.196836551003824869e-03
1.666666666666666519e+00,9.486242259252453124e-01,5.290313681727490044e-03
1.733333333333333171e+00,9.788893539578082947e-01,1.768286274300090227e-03
1.866666666666666696e+00,6.773119218346135284e-01,1.184378818876658142e-02
1.933333333333333348e+00,3.914587935329550406e-01,1.155211920278341464e-02
2.000000000000000000e+00,5.326372255929955057e-02,7.230203040641708032e-03
2.066666666666666874e+00,-3.731621638762017690e-01,1.369731900913895468e-02
2.133333333333333304e+00,-6.441712248106129524e-01,1.666592450428385289e-02
2.199999999999999734e+00,-8.902498852648403904e-01,1.077719223282536110e-02
2.266666666666666607e+00,-9.883428682000964249e-01,2.751982095495473114e-03
2.333333333333333037e+00,-9.677994837236277847e-01,5.112914406501311432e-03
2.400000000000000355e+00,-8.203225686116235593e-01,5.863563187618967693e-03
2.466666666666666341e+00,-5.704676209196046788e-01,1.106358177289381087e-02
2.533333333333333659e+00,-2.661747281932250186e-01,2.293667005745558818e-02
2.600000000000000089e+00,1.083972609218468997e-01,1.642277122823825042e-02
2.666666666666666963e+00,4.948233344033460823e-01,9.135404451435532799e-03
2.733333333333333393e+00,7.340068714254127658e-01,2.705587952898028462e-03
2.800000000000000266e+00,9.217038723775476949e-01,1.042809640996395122e-02
2.866666666666666696e+00,9.813096937813284848e-01,1.366707541852087496e-03
2.933333333333333570e+00,9.155720705150363070e-01,6.481161424127245517e-03
3.000000000000000000e+00,7.501703130601931058e-01,1.449279492422414148e-02
