Pi pulse length (ms),S_z/S,yerror
4.299999999999999933e-01,3.077420320607896637e-02,8.029116473415542216e-03
4.313333333333333464e-01,-1.765872995694685310e-02,6.316111529927910702e-03
4.326666666666666439e-01,3.816049053786151057e-02,7.286530009650777837e-03
4.340000000000000524e-01,-4.201320014780160310e-03,6.885229910678318868e-03
4.353333333333332944e-01,6.436817420754854628e-03,7.380310988853839259e-03
4.366666666666666474e-01,1.229827337960770137e-02,8.039717256780400806e-03
4.379999999999999449e-01,-1.200866866554557016e-02,7.223076293827848486e-03
4.393333333333332980e-01,2.126408561959251126e-02,9.003032254247285773e-03
4.406666666666667065e-01,8.735860874456087208e-03,8.145781527687565027e-03
4.420000000000000040e-01,1.030312970242387577e-01,1.194990301291903693e-02
4.433333333333333570e-01,2.555727716283699991e-01,1.909222716303429074e-02
4.446666666666666545e-01,5.048804997744602563e-01,1.963918671850905032e-02
4.460000000000000075e-01,7.228889857341399550e-01,1.367746212782638450e-02
4.473333333333333051e-01,8.886539280570374677e-01,7.554734070939090121e-03
4.486666666666666581e-01,9.234389739116884988e-01,7.662140593309811447e-03
4.500000000000000111e-01,7.650983777451205725e-01,1.027044447465878460e-02
4.513333333333333086e-01,5.689430673889790402e-01,1.452406398289670698e-02
4.526666666666666616e-01,3.211999540862238711e-01,1.341972660439678944e-02
4.539999999999999591e-01,1.045552568582967939e-01,1.223443596594970748e-02
4.553333333333333122e-01,2.249960027125042991e-02,7.160495519371765441e-03
4.566666666666666097e-01,-1.257747637372490408e-02,8.127202341478199921e-03
4.579999999999999627e-01,1.562124180512240550e-02,7.059085749047865933e-03
4.593333333333333157e-01,-1.410071448041589660e-02,7.155053048229018629e-03
4.606666666666666687e-01,2.050272983509886238e-02,8.657402734996546070e-03
4.619999999999999662e-01,1.450319897884458885e-02,6.693349029777420460e-03
4.633333333333333193e-01,-1.518612863074439261e-02,7.389772580730175934e-03
4.646666666666666723e-01,2.667928879903793543e-02,7.495639668294725236e-03
4.659999999999999698e-01,-1.964233315369214375e-02,7.966374788975685156e-03
4.673333333333333228e-01,5.691980833527812873e-03,1.145801452626669763e-02
4.686666666666666758e-01,-1.385414619449504801e-02,7.519616167877224075e-03
4.699999999999999734e-01,5.127227492029492496e-03,8.149044368140696132e-03
