Shot index,Pi pulse length (ms),yerror
0.000000000000000000e+00,4.486376941096064108e-01,5.180202045878860379e-05
2.000000000000000000e+02,4.486621679721086164e-01,1.518816918716271063e-05
4.000000000000000000e+02,4.486120756146367294e-01,2.591299974247790195e-05
6.000000000000000000e+02,4.487949149933616044e-01,3.119698702531727684e-05
8.000000000000000000e+02,4.486698232599590774e-01,6.426928166190758738e-05
1.000000000000000000e+03,4.487559512305805409e-01,5.689524729169852864e-05
1.200000000000000000e+03,4.486684619524252127e-01,5.680424373052368563e-05
1.400000000000000000e+03,4.481388205222716636e-01,2.489547312052253444e-05
1.600000000000000000e+03,4.479507978424963621e-01,2.963583967742391872e-05
1.800000000000000000e+03,4.475799899733177156e-01,4.352449745454353941e-05
2.000000000000000000e+03,4.472433568147815564e-01,3.544684876708278687e-05
2.200000000000000000e+03,4.469674049399722793e-01,3.877795200903753231e-05
2.400000000000000000e+03,4.469946816461658479e-01,4.009827350618798170e-05
2.600000000000000000e+03,4.474789361937022147e-01,6.989576676575003544e-05
2.800000000000000000e+03,4.483429573142012625e-01,3.289401955465376127e-05
